DEBUG | 2023-01-06 23:26:31,520 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000001B30EB4BDC0>, <socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51617), raddr=('127.0.0.1', 7777)>, 'test2'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:32,022 | client.py | Called function main with params ((<__main__.Client object at 0x000002E3379EBDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:32,522 | client.py | Called function main with params ((<__main__.Client object at 0x000001B30EB4BDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:39,186 | client.py | Client created, Account: test2
DEBUG | 2023-01-06 23:26:39,187 | client.py | Presence created test2
DEBUG | 2023-01-06 23:26:39,189 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000001D55F83BDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:39,204 | client.py | Client created, Account: test1
DEBUG | 2023-01-06 23:26:39,205 | client.py | Presence created test1
DEBUG | 2023-01-06 23:26:39,206 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000001F65AB8BDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:39,210 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000001D55F83BDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:39,210 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:39,212 | client.py | Process started
DEBUG | 2023-01-06 23:26:39,215 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000001D55F83BDC0>, <socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51618), raddr=('127.0.0.1', 7777)>, 'test2'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:39,715 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000001F65AB8BDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:26:39,715 | client.py | Connected. Server answer: 400 : BAD REQUEST
DEBUG | 2023-01-06 23:26:39,716 | client.py | Process started
DEBUG | 2023-01-06 23:26:39,717 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x000001F65AB8BDC0>, <socket.socket fd=404, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51619), raddr=('127.0.0.1', 7777)>, 'test1'), {}). From module __main__. From function self._bootstrap_inner(). 
